segment_id,lat,lon,length_m,slope,curvature,density,offtrack_rate
24,-7.20911658,109.92657426,6.963062902974649,0.0,1.0506658293823041,165.0,0.15757575757575756
25,-7.20914718,109.92662933,6.2359827694831305,0.0,0.025762487300747816,107.0,0.056074766355140186
26,-7.20911801,109.92667761,7.393310816065384,0.0,0.048586578817666926,101.0,0.0
27,-7.20908197,109.92673393,9.741150714312562,0.0,0.022205086282858444,123.0,0.016260162601626018
28,-7.20903813,109.92681038,7.965046027534399,0.0,0.013117996013409128,111.0,0.018018018018018018
29,-7.20900091,109.92687207,5.829803879328025,0.0,0.21697717708100162,90.0,0.022222222222222223
30,-7.20897426,109.92691758,7.157818407086302,0.0,0.2652323210483314,86.0,0.03488372093023256
31,-7.20895431,109.92697927,9.331306686674063,0.0,0.13177997620958415,118.0,0.2033898305084746
32,-7.20895029,109.92706376,10.542259309482024,6.545086586699621,0.10033480922372262,141.0,0.03546099290780142
33,-7.20895833,109.92715898,9.182804725621581,0.0,0.23289948709790664,148.0,0.04054054054054054
34,-7.20895699,109.92724221,9.547545492409737,0.0,0.17061802705126627,132.0,0.05303030303030303
35,-7.2089756,109.9273267,8.158898971525778,0.0,0.11945609959011394,132.0,0.06060606060606061
36,-7.20900351,109.9273951,5.764700961740661,0.0,0.1998999803357986,90.0,0.03333333333333333
37,-7.20902883,109.9274407,4.085680217538079,0.0,0.07338758819384816,74.0,0.06756756756756757
38,-7.2090528,109.92746877,6.282376697425563,0.0,0.26816107640108866,74.0,0.013513513513513514
39,-7.2090927,109.92750909,7.158646171355538,0.0,0.35194153064014255,107.0,0.037383177570093455
40,-7.2091486,109.92754128,8.706624529073103,0.0,0.004448723850930314,109.0,0.03669724770642202
41,-7.20919906,109.92760163,8.083409366647233,0.0,0.14727881244905472,127.0,0.1889763779527559
42,-7.20924566,109.92765787,7.118067907233012,0.0,0.11539412142654104,113.0,0.017699115044247787
43,-7.20927902,109.92771294,10.590375432421862,0.0,0.06985130537352546,105.0,0.01904761904761905
44,-7.20931892,109.92780011,13.7638290076607,0.0,0.12108061830423189,178.0,0.0449438202247191
45,-7.20936276,109.92791679,9.859499696691904,0.0,0.047978309108760886,152.0,0.02631578947368421
46,-7.209404,109.92799591,12.531390494633715,0.0,0.24640500369299745,185.0,0.043243243243243246
47,-7.20946116,109.92809381,12.167179773693963,0.0,0.007171232430996266,160.0,0.05
48,-7.20949184,109.92819968,9.27706583351767,0.0,0.044714119715897116,168.0,0.041666666666666664
49,-7.20951581,109.92828023,6.268737264094704,0.0,0.4158924191600919,119.0,0.04201680672268908
50,-7.20953442,109.92833387,7.116462522311301,0.0,0.07992070605890911,87.0,0.05747126436781609
51,-7.20952914,109.92839816,7.3463859324844405,0.0,0.05031610476364756,108.0,0.046296296296296294
52,-7.20951841,109.92846387,6.5610882164200675,0.0,0.3229721778578447,93.0,0.03225806451612903
53,-7.20951179,109.92852297,5.600504137609713,0.0,0.058743619359359345,73.0,0.0273972602739726
54,-7.20952244,109.92857259,9.321857160233288,0.0,0.05451558082924257,106.0,0.04716981132075472
55,-7.20954498,109.92865398,14.440206045328353,0.0,0.20196508215194853,184.0,0.1358695652173913
56,-7.20957298,109.9287818,10.800943761699179,0.0,0.16343837474187062,166.0,0.012048192771084338
57,-7.20957432,109.9288797,10.81512048423032,0.0,0.14802837594200002,144.0,0.041666666666666664
58,-7.20959159,109.92897618,13.006308724808772,0.0,0.0077295106550661075,182.0,0.038461538461538464
59,-7.20959502,109.92909403,9.04881815784145,0.9946050238837935,0.12232319064924302,156.0,0.01282051282051282
60,-7.20959804,109.929176,14.996876291226666,0.0,0.19756433342171942,166.0,0.024096385542168676
61,-7.20961958,109.9293102,7.698089544935849,0.0,1.1708852551388915,168.0,0.047619047619047616
62,-7.2096169,109.92937993,2.52842190181455,0.0,0.36149601983061197,423.0,0.0851063829787234
63,-7.20959561,109.92938798,5.331796732596338,0.0,0.2649397141114336,51.0,0.058823529411764705
64,-7.20954766,109.92938798,3.4165820041505324,0.0,0.020388904225951854,52.0,0.07692307692307693
65,-7.20951799,109.92939603,5.040285374944638,0.0,0.773169807805557,49.0,0.04081632653061224
66,-7.20947399,109.92940701,3.080468747963434,0.0,1.1312544634075596,64.0,0.140625
67,-7.20945002,109.92939301,4.985395292877237,0.0,0.5391837365038104,78.0,0.0641025641025641
68,-7.20945404,109.929348,3.065145453063204,0.0,0.8089224477070308,50.0,0.06
69,-7.20944197,109.92932302,7.074456648285054,0.0,0.4038621552369013,81.0,0.0
70,-7.20938137,109.92930349,6.383642770260507,0.0,0.33779739198858666,91.0,0.02197802197802198
71,-7.2093242,109.92930877,6.70319099883792,0.0,0.13691520107569877,88.0,0.011363636363636364
72,-7.2092657,109.9292941,4.78682391432031,0.0,0.16783297662986746,75.0,0.02666666666666667
73,-7.20922572,109.92927801,3.983656776225031,0.0,0.35263923429949917,61.0,0.04918032786885246
74,-7.20919512,109.92925923,7.369926864861387,0.0,0.22462133942639884,89.0,0.011235955056179775
75,-7.20915388,109.92920693,4.737057214129388,0.0,0.07531016019919123,81.0,0.07407407407407407
76,-7.20912061,109.92918011,3.410017185879859,-2.639282886100119,0.30078000928550114,57.0,0.03508771929824561
